General_ID,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Data_Recensione,Commenti,Vantaggi,Svantaggi
2392 Go_To_Meeting,Go_To_Meeting,Frank B.,Fraud and Claims Operations Manager 2,Servizi bancari,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,9/10,Business Meeting Tool,21/2/2020,"Overall, I have been satisfied with the performance of GoToMeeting.",I like Go to Meeting because it is very reliable and stable when connecting with my peers to review departmental data.,The one thing I dislike about GoTomeeting is the compatibility issue on different browsers which causes a problem.
2393 Go_To_Meeting,Go_To_Meeting,Japneet C.,Sde2,Software informatici,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,7/10,Goto webinar tool,3/3/2020,The product is good but we are able to use it witjout any firewall restrictions,Goto meeting offers a very good user interface and proper streaming platform to conduct webinars and meetings.,The product is good but the main problem is that goto meetings is blocked on most of the company firewalls and security teams are reluctant to whitelist it.
2394 Go_To_Meeting,Go_To_Meeting,Lia M.,UX Associate,Salute,Più di 1 anno,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,7/10,Easy set up for meetings,29/8/2019,easy communications for getting together remotely,not super visually appealing for users to use,The product is good but the main problem is that goto meetings is blocked on most of the company firewalls and security teams are reluctant to whitelist it.
2395 Go_To_Meeting,Go_To_Meeting,Sally G.,Controller,Software informatici,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,consistently good,4/12/2019,"GoToMeeting makes collaboration and teamwork, especially for remote teams, very easy to conduct. The software is reliable and stable in my experience.","GoToMeeting is a consistently reliable product, and since we have employees all over the country, and globally traveling at times, it's an important resource for our business.",I haven't really noticed anything that I don't like about the software; I have not used all available features but the base version works very well.
2396 Go_To_Meeting,Go_To_Meeting,Brandon V.,Electrical Engineer,Design,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Easy to Use!,18/2/2020,"It's an easy to use virtual meeting space, what's not to like?",This software integrates very nicely with Outlook. It has never crashed on me. I can quickly start a meeting any time I need.,There isn't much to dislike. The software really doesn't have anything negative that I can think to say about it.
2397 Go_To_Meeting,Go_To_Meeting,Michael M.,Helpdesk Technician,Servizi bancari,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Great product for what it does,7/1/2020,This has always worked when we needed it to. It is user friendly.,"We use this product to do webinars, or meet with external vendors. This service is a great way to do that.","Usually requires a separate installer, which requires admin interaction. It would be nice if it could run directly from browser."
2398 Go_To_Meeting,Go_To_Meeting,Bino A.,System Engineer,Servizi finanziari,Più di 1 anno,4 /5,5 /5,4 /5,3 /5,3 /5,8/10,Secure and Recordable Meeting.,20/10/2020,It's easy to join and schedule a meeting.,Video clarity wants to upgrade from the normal level.,"Usually requires a separate installer, which requires admin interaction. It would be nice if it could run directly from browser."
2399 Go_To_Meeting,Go_To_Meeting,Donna C.,Assistant City Clerk,Amministrazione pubblica,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,9/10,I like this product,16/7/2019,I would recommend using this software. You can use it on your computer and on a tablet if you need to attend a webinar on the go. I find it wonderful to use.,I love using this program for webinars. When I have a webinar this program makes it very easy to navigate through and very user friendly.,I really do not have anything bad to say about this software.
2400 Go_To_Meeting,Go_To_Meeting,Ketra F.,Systems Manager,Vendita al dettaglio,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,3 /5,5/10,G2M,27/12/2018,Go to meeting is not the only solution for meetngs but it is comparable to all of them.,This tool provides a reliable screen share and meeting environment that is is easy to use. It is a dependable service,"I wish there was a ""hand raise"" button for training and for moderating meetings with larger meetings."
2401 Go_To_Meeting,Go_To_Meeting,Gordon P.,Owner,Internet,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Nothing Better for Online Meetings,20/9/2018,Easy meeting scheduling. Love the Simulated Live feature. Great quality audio. The best I've used for online meetings ad I have used about 5 different brands.,Periodic quality issues but so seldom I feel it is almost not worth mentioning. It could very well be the connection and not GTM.,"I wish there was a ""hand raise"" button for training and for moderating meetings with larger meetings."
2402 Go_To_Meeting,Go_To_Meeting,Sasikumar R.,Digital Marketing Manager,Servizi e tecnologie dell'informazione,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,4 /5,6/10,Nice tool for online meetings,24/9/2019,We use GoToMeeting for meeting our clients and overseas team. It has served our purpose without any hitches.,Ease of use and setup. Voice recording feature and able to connect using Desktop and handheld devices.,No options for sharing the webcam. Offlate facing issues with voice qualities and connection issues.
2403 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Business Analyst / Application Developer,,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,4 /5,8/10,Don't know what I would do without it,4/6/2018,I like to use this software for training purposes especially. It is useful when i want to pass off the presenter role to a trainee so that everyone can follow what they are doing.,The Windows 10 app doesn't have the full functionality of the desktop app. It is not ideal to say the least.,No options for sharing the webcam. Offlate facing issues with voice qualities and connection issues.
2404 Go_To_Meeting,Go_To_Meeting,Nic D.,Operations,Articoli sportivi,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Zero Problems,31/10/2019,It's a great platform to connect everyone in a meeting. Everyone's familiar with GTM and it's so user friendly that we've never had any issues internally or with our partners in these meetings. The fact that we don't have to think about GTM too much means they've really fined tuned their product to working as seamlessly as they can.,"The best thing about GoToMeeting is that I don't have to think about it. There hasn't been any syncing issues, video issues or audio issues.","It's not much of a problem, but the GTM invitation emails look like spam. I think it would be great if they looked more official. The first time I received one I had to run it by our IT dept before clicking the link to join the meeting."
2405 Go_To_Meeting,Go_To_Meeting,Taylor R.,Quality Control,Servizi ai consumatori,Più di 2 anni,4 /5,5 /5,4 /5,5 /5,5 /5,10/10,GoToMeeting is meeting my needs!,8/10/2019,"I work for a company that is nation wide, we have people on our team in a few different states and four times a month we have team meetings. Have GoToMeeting makes having far away employees feel like they are in the room with you","Fast
Easy to use
Simple
Helps you reach those who are far away",I have not found any cons while using this yet
2406 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Executive Assistant,Giochi d'azzardo e casinò,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,7/10,Easy to meet with large groups of people,28/11/2018,"GoToMeeting is a good solution to communication between offices, cities, and countries. It solves large scale communication for my 10,000+ person company.","It is simple to attend a GoToMeeting as a participant. The link is sent out, you may sign up, and are then reminded before your meeting begins. I like being reminded so I don't miss meetings, and it is easy to attend a meeting with large amounts of people, without distractions of attendees being able to call in.","I have only used this program as a participant, and have had issues communicating with those hosting the meeting. I am not sure if this comes from the internet connection or GoToMeeting issues."
2407 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Executive Assistant/Manager of Administrative Support Services,Ospedali e sistemi sanitari,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,GoToMeeting - Kloehn,19/9/2018,Very positive. It has allowed for us to offer an option for remote attendance for those members of our medical staff who are not available to attend in person.,"Ease of functionality
Ability to record within the â€œGo To Meetingâ€ browser for access after meeting
Ability for personalized call-in details for remote attendance
Ability to share desktop so that remote attendees can see presentation materials and feel more engaged in meeting",There werenâ€™t any cons with the software. It functioned as expected and was easy to set up meetings and use the functionality of the program. The price for the what is get is also reasonable and we use an annual subscription.
2408 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Owner / Operator,Consulenza manageriale,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,4 /5,9/10,It works great,17/10/2018,I have used GotoMeeting in many capacities over the years with a number of clients and vendors. It works great and is cross platform (so works well on Mac or PC) allowing all users to play nice together. They have been around for a long while and it does what it promises well. I have no real complaints and would absolutely recommend businesses or organizations give this software a shot.,"- Easy to install on all platforms
- Stable and reliable, never had an outage with them.
- Meeting quality is great
- Ability to record meetings and use their system to conference attendees","- A bit pricey compared to other software that is similar
- The interface has been a bit clunky over the years and is not as clean as others"
2409 Go_To_Meeting,Go_To_Meeting,Oscar S.,Content Manager,Nanotecnologie,Più di 1 anno,4 /5,5 /5,4 /5,3 /5,4 /5,7/10,Excellent platform but needs to overtake their competitors,6/12/2018,"It has been a good experience, It covers my needs regarding meeting subject here in the office and with customers arround the world.","Easy to use, InCall controls are simple and clear, accessible prices. many features to be used that increase depending on the package acquired.","sometimes you need to depend on your support team to configure the platform for a big call, some simple technical issues that could be easily fixed to avoid a new configuration on the next call."
2410 Go_To_Meeting,Go_To_Meeting,Paul H.,Director,Servizi finanziari,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,9/10,Great Meeting & Webinar Product,3/12/2019,Never had any issues. Can host meetings for a few or many.,Very effective tool for having a virtual office environment. Been using since it was first release and it has never let us down.,"Price might be a little higher than other softwares, but at the same time what it does give you is reliability."
2411 Go_To_Meeting,Go_To_Meeting,Matt G.,Product Development Engineer II,Dispositivi medici,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,5 /5,10/10,Never had any issues,24/7/2019,"This software is simple to use and very intuitive. I dont do anything extremely complicated, but its good to know that software doesnt over complicate its simple tasks.","I have issues sometimes with splitting audio and video. Not sure that its a GoToMeeting issue or on my end, but its an annoyance in the evening meetings.","Price might be a little higher than other softwares, but at the same time what it does give you is reliability."
2412 Go_To_Meeting,Go_To_Meeting,Katelyn M.,Guest Experience Host,Industria alberghiera,6-12 mesi,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Great for Conferencing!,11/4/2019,"Overall, this software is beneficial for meeting online and through video chat. It allows users to communicate in chat during the conferences and the HD quality is wonderful! It has some competition with similar softwares, such as Zoom, but the price is unbeatable and it gets the job done well!",This software allows for HD video conferences and makes meetings more efficient and easier to organize! The price is extremely good and the software is easy to use with a nice user interface.,"You cannot have separate chat rooms outside of a conference call, like you can with some other apps. It also uses more bandwidth to use than similar softwares, such as Zoom."
2413 Go_To_Meeting,Go_To_Meeting,Jamie B.,Java,Consulenza manageriale,Più di 1 anno,4 /5,5 /5,4 /5,4 /5,4 /5,10/10,Brilliant tool of collaboration,29/8/2019,It is excellent product I have ever used. I have completely excellent and reliable experience with its all services.,This application is best for audio and video calling for any type of organization. Web cams can also be shared through this product to keep an eye on individuals if they are paying attention or not. It is very helpful product for our company.,GoToMeeting is a complete product and going in right direction. I would name it a wonderful product that let us communicate in efficient way.
2414 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Sr Pipeline Manager,Servizi finanziari,Più di 2 anni,5 /5,5 /5,4 /5,3 /5,5 /5,10/10,"GoToMeeting - Functional, Efficient",25/9/2020,"Great experience, low cost, takes care of a need. Reccomend","You can connect with anyone, anywhere with this web hosted software. Many features included that make work or training easy.","I wish it was a free software, but it is worth the money. 14 day free trial is a bit short, but if you want to try it out - get it right before a meeting."
2415 Go_To_Meeting,Go_To_Meeting,Mela S.,Project Manager,,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Video conference tool,27/2/2018,Great application for online meetings. Very good quality of the videos. You can share your screen and also remote capable. Record all the meetings and trainings.,For the people using it for the first time is not so intuitive or easy to use. There is no ability to share files during the meeting,"I wish it was a free software, but it is worth the money. 14 day free trial is a bit short, but if you want to try it out - get it right before a meeting."
2416 Go_To_Meeting,Go_To_Meeting,Jenna R.,Realtor,Proprietà  immobiliari,Prova gratuita,5 /5,5 /5,4 /5,5 /5,Nessuna recensione,10/10,Easy to Use as an Invitee,21/4/2020,"Overall, we were able to troubleshoot the problems we had with the programs. They were annoying, but not a deal breaker.","My friend had a subscription to Goto Meeting and set up a video conference for about 10 of us to chat and play games on for Friday night entertainment during quarantine. The quality of the call was excellent, and it was very simple to navigate into the program from the email invite. Everyone in our group was easily able to figure out the process. The games were very simple, and not necessarily that great from a ""fun"" standpoint but the platform to use them was easy for all of us to figure out.",Games and additional add on type features could be improved moving forward. We had some issues with Ipads and getting the picture to be right side up on some types of computers.
2417 Go_To_Meeting,Go_To_Meeting,Utente Verificato,BIM Manager / Project Manager,Design,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,5 /5,10/10,How else do you have meeting with people all over the palce,23/9/2018,"easy to setup and connect, I also love that I can log in within google calendar that way I can add a link for gotomeeting when inviting people to an event","for some people, connecting and using gotomeeting is confusing, I don't have a solution but some people struggle with the interface",Games and additional add on type features could be improved moving forward. We had some issues with Ipads and getting the picture to be right side up on some types of computers.
2418 Go_To_Meeting,Go_To_Meeting,Alysn O.,Community Manager,Servizi ai consumatori,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Very Smooth Capabilities,19/2/2019,I enjoy using it and will continue to use it in the future.,"I have never had a glitch with the software, and we use it weekly within my organization. The calls are always clear and accessing the lines for our meetings is very user friendly.",There is nothing that I dislike about this software.
2419 Go_To_Meeting,Go_To_Meeting,Mary C.,Manager,Vendita al dettaglio,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,7/10,"Great product, easy to use.",5/8/2018,Have been using GoToMeeting for years now. I don't have any complaints.,"I really like the layout, I like how you can see who's in the meeting, I like how we can all interact within the meeting.","What I like least. Not to sure. I like everything. I like how you can use on a wireless phone, as well as pc."
2420 Go_To_Meeting,Go_To_Meeting,Dharil P.,Student,Servizi e tecnologie dell'informazione,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,4 /5,10/10,Great easy app for one way seminars,13/9/2020,Great for presentation seminars but not good for collaborative meetings,One way seminars are easy to host and access. Great network speed control for meetings. Easy calling option.,Very less features compared to other. Very basic not good aesthetics. Difficult to grant control to others during meeting
2421 Go_To_Meeting,Go_To_Meeting,Darshak P.,Dispatch Associates,Logistica e catena di approvvigionamento,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Nice one for big crowds,22/7/2020,It was good. In this application you can work with lot of people at a same time.,I like the most is you can connect with more than 100 people at a time and complete your job without any disturbances.,I donâ€™t like is the connectivity of this application. Because sometimes itâ€™s create lot of problems.
2422 Go_To_Meeting,Go_To_Meeting,Brittany D.,Sr. Project Manager,Servizi e tecnologie dell'informazione,6-12 mesi,5 /5,5 /5,4 /5,Nessuna recensione,4 /5,8/10,Easy way to do screen share meeting,16/7/2018,We use Go to Meeting at my company to interact with internally when remote as well as with clients. This is a great tool to use when presenting.,I can't really think of anything I do not like about the software. It is pretty basic and easy to use.,I donâ€™t like is the connectivity of this application. Because sometimes itâ€™s create lot of problems.
2423 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Senior Product Manager,Software informatici,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,4 /5,9/10,Great Software - but there are free options out there,28/8/2018,Been using them for (6+) years at work without problem. Good platform. Recommended.,Great and easy to use! Allows for many to join your call senselessly. Saves travel as you can do it all form the seat of your office.,Subscription. There are other good options with almost all the same features for free.
2424 Go_To_Meeting,Go_To_Meeting,Renee G.,Sr Travel Planner,Industria alberghiera,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,9/10,Go to Meeting,14/1/2020,really easy to access and link up to the go to meeting program.,"Easy to use and access online, you just click and you are there in the meeting. You can see who is all attending and hear clearly","Havent had an issue at this time, as mentioned it is easy to use. Occasionally it doesnt load quickly enough, but for the most part- it is great"
2425 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Head of GIS Technology,,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,10/10,A powerful conference calling system but which our users still find challenging to use effectively,16/2/2018,"This is a powerful application to allow conference calling with phone, computer audio and video and presentation options","We find the usability of the application challenging and almost without fail we will have some issues during a call with changing presenters, or unmuting someone on the call.","Havent had an issue at this time, as mentioned it is easy to use. Occasionally it doesnt load quickly enough, but for the most part- it is great"
2426 Go_To_Meeting,Go_To_Meeting,Gordon C.,English Teacher,E-learning,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,5 /5,9/10,Solid VOIP Software,25/2/2019,Go To Meeting works great! One of the better VOIPs for online meetings and training sessions. My clients and I always had good quality audio and video.,Easy to use and good functionality. I've never had problems with updates or crashes. Video and audio quality are good.,None. The software works as advertised.
2427 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Manager of Marketing and Technology,,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Awesome Application for Webinars And Meetings,19/12/2017,We have the ability to instantly meet wit with offsite employees & run virtual candidate interviews without little to no issues with audio and video quality.,"GoToMeeting has made our monthly meetings seamless. We use to connect via Skype, now we use GoToMeeting and it has been great. Call quality and audio have been amazing. The different tools they have (i.e. pass presenter role) have been great for meetings as well as troubleshooting IT issues with offsite employees",None. The software works as advertised.
2428 Go_To_Meeting,Go_To_Meeting,Suzanne R.,Md,Studi medici,Più di 2 anni,4 /5,5 /5,4 /5,5 /5,5 /5,8/10,Go to Meeting,14/1/2020,"Very easy, no problems at all, allow someone to get to my computer and control it and fix the bugs",Very easy to use. I love that tech support can get on my screen and fix all my issues and I can walk away,"Nothing, it was all very easy to me. My electronic health record system chooses it and I am just a participant but I love having it available"
2429 Go_To_Meeting,Go_To_Meeting,Utente Verificato,,,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Easy to use for online meetings,17/10/2018,I have been a user of GoToMeeting on and off for a number of years. It has always been easy to join and be a part of group meetings with clients.,"I admit, this is not my main online meeting app, as other platforms suit me better. It seems a little more complicated to use than the others I have used on a more regular basis.","Nothing, it was all very easy to me. My electronic health record system chooses it and I am just a participant but I love having it available"
2430 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Owner,Contabilità ,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Awesome Way to Conduct Online Meetings,19/9/2018,A++,"Easy to use, easy to log in, easy to follow instructions. I have nothing but great things to say about gotomeeting. really an awesome online program that makes it possible for business to be conducted all over the world in 2018. Employees can be in Los Angeles, Boston, Japan, China and all be part of a meeting. Works great.",When I have used this for meetings that I run I haven't had any cons and when I have been part of other meetings I haven't had any cons.
2431 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Video Animator,,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,10/10,"very cool and very nice, I love the chat function and the mobile version as well",23/5/2018,meetings are done even though we work remotely all over the world,"i love the mobile version and web app, it is easy to use, updates are helpful as well, chat function is nice also","I don't like the number of video shared is limited only, hope they can come up with 50 video screens can be shared or more..:)"
2432 Go_To_Meeting,Go_To_Meeting,Paolo M.,Owner,Vendita al dettaglio,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Our favorite software to hold virtual meetings,29/10/2019,We use GoToMeeting to hold virtual meetings and it works perfectly every time.,"Our favorite software to hold virtual meetings, it allows us to share our screen and talk with clients with ease.","Overall no cons, it works as is and it is easy enough for people who are not tech savvy, highly recommended."
2433 Go_To_Meeting,Go_To_Meeting,Terra W.,Manager,Reclutamento e selezione del personale,6-12 mesi,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Great software,4/12/2019,Love it and will continue to use it as needed.,When I have to do a presentation or speak to a group of recruits this is a great tool. to use. It's easy for them to access.,There are very few limitations to the software. I do find that the listening through computer portion can be tricky as it depends on the end users system.
2434 Go_To_Meeting,Go_To_Meeting,Saima H.,public health researcher,Salute,6-12 mesi,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,This is a time-saver on every level,29/11/2019,Very positive. I love that I can use it on my phone as well as a laptop. It has streamlined my work travel time.,"Increasingly, public health has only been able to offer part-time consultancies, so being able to use this software for meetings rather than travel all the way into the office for an in-person is invaluable. I am not paid for travel time, and I often have other work I do need to attend to in order to meet my bills. So thi has literally saved me hours and hours of time.","There is really nothing I dislike about this software. Anything that save me time, money and energy has my utmost respect."
2435 Go_To_Meeting,Go_To_Meeting,Kristen Q.,Executive Assistant Project Coordinator,Marketing e pubblicità ,6-12 mesi,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Online meetings made easy,14/1/2020,This software makes my life easier but even my boss can use it and easily schedule meetings.,"There are a number of ways to start a meeting with GoToMeeting. You can schedule a meeting, lauch from your desktop or use your personal URL. It has video and allows for screen sharing.",It's not the fault of the software but sometimes we have trouble using it with customers in the banking industry due to high security on their end.
2436 Go_To_Meeting,Go_To_Meeting,Marissa S.,Supervisor/Photographer,Ospedali e sistemi sanitari,Più di 1 anno,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Business Necessity,22/5/2019,As a supervisor it is important to be able to connect with employees and communicate changes quickly. Scheduled in person meetings have become more difficult with demanding work days. Go To Meeting is an outstanding solution to this modern problem.,"Able to connect with anyone offsite for meetings easily, reliably and cost effectively. Easy to set up. Consistent and great functionality. Usually do not experience any difficulties in trying to connect attendees.",I haven't experienced difficulties with this product.
2437 Go_To_Meeting,Go_To_Meeting,Armin M.,Media Buyer,Marketing e pubblicità ,6-12 mesi,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,GoTo meeting is better than Skype,10/10/2018,"Overall, GoToMeeting has fully replaced Skype for us with client communication and sharing screens.",Our company uses GoTo for a while now and it's great.,"One con I'm noticing sometimes is that the signal is bad, but I guess that's normal with all communication softwares."
2438 Go_To_Meeting,Go_To_Meeting,Tiffany J.,HR Manager,Vendita al dettaglio,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,Simple & easy to use!,12/9/2018,"Overall, it is a great solution that can easily be used by all levels.",I love that GoToMeeting makes it easy to host meetings and presentations outside of our organization. It is simple to send a meeting invite to others and doesn't require a ton of plug ins or extensions to download before the meeting. Compatible with every computer I have worked on. Great for those who may not be as tech savvy.,I feel like it isn't as innovative as some other meeting software. It has the basic functions but I feel like it has the potential to do more interactive functions. I have noticed a few audio issues here and there (could be the end user though).
2439 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Associate Director: Data Operations,Industria farmaceutica,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,5 /5,7/10,Conferencing Made Easy,16/8/2018,We make use of GoTo for all our conference calls. Cost effective for a small company and easy to use,"The software can be used with minimum preparation for first time attendees. Screen sharing, video calling and Session recordings are a nice features.",I can not mention anything negative about the software
2440 Go_To_Meeting,Go_To_Meeting,Jesse B.,"AVP, Technical Solution",Marketing e pubblicità ,Più di 1 anno,4 /5,5 /5,4 /5,4 /5,3 /5,10/10,GoToMeeting is popular but not my first pick,5/9/2019,"I wouldn't recommend GoToMeeting compared to other options out there they offer advantages in cost, features, and simplicity.","The software works across all operating systems and mobile platforms. For the most part, conferences are easy to use and work well.","The installation process is a hassle and usually is necessary for guest at inconvenient times (like when the meetings are starting). The software is buggy at times, and scheduling feels anything but seamless."
2441 Go_To_Meeting,Go_To_Meeting,Amanda S.,Owner,Servizi e tecnologie dell'informazione,6-12 mesi,4 /5,5 /5,4 /5,5 /5,5 /5,10/10,Great software,4/12/2019,"I really like this software. I do a lot of remote meetings and it works pretty consistently without issues. Some other software consistently has performance issues, but I have never had that issue with Go to Meeting.",I don't like that it's not online and has to be downloaded,"The installation process is a hassle and usually is necessary for guest at inconvenient times (like when the meetings are starting). The software is buggy at times, and scheduling feels anything but seamless."
2442 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Operations Specialist,Servizi ai consumatori,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,5 /5,5/10,Great Software!,24/9/2020,"This software is very easy to use. What I like the most about it is that it makes it very easy to do trainings and meetings remotely. My favorite feature is the screen sharing with mouse control. This can be used whether you are doing a business training or whether you are teaching your elderly grandmother how to navigate her new PC.
Go to Meeting is great ðŸ‘ðŸ¾",If I could pick out any cons it would be the lack of certain controls when using the â€œbrowser versionâ€. I understand why all of the features arenâ€™t accessible from the web but it makes things difficult when you are on the go and not on your usual computer.,"The installation process is a hassle and usually is necessary for guest at inconvenient times (like when the meetings are starting). The software is buggy at times, and scheduling feels anything but seamless."
2443 Go_To_Meeting,Go_To_Meeting,Ryan R.,Hardware Engineer,Elettronica di consumo,Più di 1 anno,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,0/10,Remote Meetings with GoToMeeting,20/2/2020,"Overall, GoToMeeting has been a reliable tool for meeting with remote employees. I would like to see more longevity in the user interface.","GoToMeeting is a professional solution for hosting meetings with remote employees. All of the features needed for video, audio, screen sharing, etc. are present.",I have noticed that the user interface has changed multiple times since I have used the software. This sometimes causes confusion once you get used to a certain way.
2444 Go_To_Meeting,Go_To_Meeting,Utente Verificato,"Supervisor, Contract Renewals",Logistica e catena di approvvigionamento,Più di 1 anno,2 /5,2 /5,3 /5,Nessuna recensione,1 /5,10/10,GoToMeeting has serious limitations,13/9/2018,"Overall, I don't really trust that the service will perform as promised due to previous experience. I regularly dial directly to avoid the technical challenges during customer calls.","This service allows toll free numbers, local numbers, and international numbers. There are screen sharing abilities.","This platform limits the number of participants, so if you need to have a large conference call, you need to purchase a license for GoToWebinar which does not allow recorded calls. This service regularly has technical issues such as: dropping participants off the call, terrible sound quality which renders the call useless, Outlook plug in randomly disappears, participants unable to access the call, etc."
2445 Go_To_Meeting,Go_To_Meeting,Quinn P.,IT,Servizi e tecnologie dell'informazione,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,It's the most popular for a good reason!,30/11/2018,"Screen sharing, letting someone take control of the screen in a click of a button. Set which screens of mine other attendees can see. Connection speed is excellent! Screen capture, session recording are great features!",Will NOT work on Mac in Firefox. Has to use Chrome.,"This platform limits the number of participants, so if you need to have a large conference call, you need to purchase a license for GoToWebinar which does not allow recorded calls. This service regularly has technical issues such as: dropping participants off the call, terrible sound quality which renders the call useless, Outlook plug in randomly disappears, participants unable to access the call, etc."
2446 Go_To_Meeting,Go_To_Meeting,Aimee C.,Realtor,Proprietà  immobiliari,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Convenient way to meet remotely,13/5/2019,Great for our team to attend meetings no matter where we are currently located. Often one team member is out of town and this has been great at keeping everyone connected. Very user friendly.,Once in a while there is a sound or delay issue. Normally will resolve quickly. Very rarely does it affect our meeting.,"This platform limits the number of participants, so if you need to have a large conference call, you need to purchase a license for GoToWebinar which does not allow recorded calls. This service regularly has technical issues such as: dropping participants off the call, terrible sound quality which renders the call useless, Outlook plug in randomly disappears, participants unable to access the call, etc."
2447 Go_To_Meeting,Go_To_Meeting,John T.,Research Projects Manager,Materiali da costruzione,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,4 /5,10/10,Very simple to use and intuitive.,13/11/2018,Setting up virtual meetings on the fly to collaborate with team members make this product pay for itself. Also being able to show on the monitor examples of what your discussing provides more clear cut communication which makes meetings more efficient.,"How user friendly it is to setup, invite, and run meetings with it.","Cannot think of anything that I can call the ""least""."
2448 Go_To_Meeting,Go_To_Meeting,Alicia M.,manager,Vendita al dettaglio,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,8/10,Love using GoToMeeting,12/11/2019,It makes it so easy to share information and conduct meetings with individuals that are not local.,I love using GoToMeeting because it makes it easy to share information with people that are not local.,I wish I didn't always have to call on the phone to be able to have audio. I try and use audio with my computer but it doesn't always work.
2449 Go_To_Meeting,Go_To_Meeting,Manideep K.,Senior engineer,Settore automobilistico,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Features and ease of use,17/6/2020,We generally use for knowledge sharing and minutes of meeting,"Easy to connect with our team and easy share the screen and record options too.
Calling option is also good","Web application should be improved we are expecting similar to the installed one.
Without software we may use limited features"
